Name,Date_of_Birth,Place_of_Birth,Date_of_Death,Place_of_Death,Name_of_Spouse,Date_of_Marriage,Date_of_Divorce,Number_of_Marriage,Number_of_Divorce,Number_of_Children,Marriages_End_in_Death,Date_of_Birth_Spouse,Place_of_Birth_Spouse,Date_of_Death_Spouse,Place_of_Death_Spouse,Number_of_Marriage_Spouse,Number_of_Divorce_Spouse,Number_of_Children_Spouse,First_Marriage,Sex,Age,Age_at_Marriage,Age_at_Divorce,Age_of_Spouse,Age_at_Marriage_Spouse,Age_at_Divorce_Spouse,Duration_of_Marriage,Age_Difference,Number_of_Roles,Profession,Spouse_is_Celebrity,Married,Divorced,Alive_or_Dead,Alive_or_Dead_Spouse,Latitude,Longitude,Latitude_Spouse,Longitude_Spouse,Distance
Adnan Siddiqui,1969-10-23,"Lahore, Punjab, Pakistan",,,Palwasha Siddiqui ​,1999-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,54.0,30.0,,,,,24.0,,2,"model, actor/actress",0,1,0,0,0,31.5203696,74.35874729999999,,,
Mian Muhammad Mikaal Patras Aziz Zulfiqar,1981-09-05,"London, England, United Kingdom",,,Sara Bhatti​ ​,2012-01-01,2017-01-01,1.0,1.0,,0.0,,,,,,,,0,M,42.0,31.0,36.0,,,,5.0,,2,"model, actor/actress",0,1,1,0,0,51.5072178,-0.1275862,,,
Ricardo da Silva Tavares Pereira,1979-09-14,"Lisbon, Portugal",,,Francisca Pinto Ribeiro​ ​,2010-01-01,,1.0,0.0,3.0,0.0,,,,,,,,0,M,44.0,31.0,,,,,13.0,,2,"model, actor/actress",0,1,0,0,0,38.7222524,-9.1393366,,,
Andre Birleanu,1982-08-07,"Moscow, USSR",,,Anna Jaqueira  ​,2006-01-01,2010-01-01,3.0,2.0,,0.0,,,,,,,,0,M,41.0,24.0,28.0,,,,4.0,,1,model,0,1,1,0,0,55.755826,37.6173,,,
Collin Chee,1967-01-24,Singapore,,,Irene Rahardja​ ​,1997-01-01,2020-01-01,1.0,1.0,4.0,0.0,,,,,,,,0,M,56.0,30.0,53.0,,,,23.0,,2,"model, actor/actress",0,1,1,0,0,1.352083,103.819836,,,
Ahn Jae-hyun,1987-07-01,"Seoul, South Korea",,,Ku Hye-sun​ ​,2016-01-01,2019-01-01,1.0,1.0,,0.0,1984-11-09,"Incheon, South Korea",,,1.0,1.0,,1,M,36.0,29.0,32.0,39.0,32.0,35.0,3.0,3.0,2,"model, actor/actress",0,1,1,0,0,37.5518911,126.9917937,37.4562557,126.7052062,27.42602700864135
Yoon Tae-wook,1976-12-09,"Seoul, South Korea",,,unnamed​ ​,2013-01-01,2019-01-01,1.0,1.0,2.0,0.0,,,,,,,,0,M,47.0,37.0,43.0,,,,6.0,,2,"model, actor/actress",0,1,1,0,0,37.5518911,126.9917937,,,
Bae Yong-joon,1972-08-29,"Mapo District, Seoul, South Korea",,,Park Soo-jin ​,2015-01-01,,1.0,0.0,2.0,0.0,1985-11-27,"Seongnam, Gyeonggi Province, South Korea",,,1.0,0.0,2.0,1,M,51.0,43.0,,38.0,30.0,,8.0,13.0,2,"model, actor/actress",0,1,0,0,0,37.5593115,126.9082589,37.4073695,127.1162181,24.943020597490445
Cha In-pyo,1967-10-14,"Seoul, South Korea",,,Shin Ae-ra ​,1995-01-01,,1.0,0.0,3.0,0.0,1969-03-07,South Korea,,,1.0,0.0,3.0,1,M,56.0,28.0,,54.0,26.0,,28.0,2.0,2,"model, actor/actress",0,1,0,0,0,37.5518911,126.9917937,35.907757,127.766922,195.43249350555973
Cha Seung-won,1970-06-07,"Seoul, South Korea",,,Lee Soo-jin ​,1992-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,53.0,22.0,,,,,31.0,,2,"model, actor/actress",0,1,0,0,0,37.5518911,126.9917937,,,
Choi Tae-joon,1991-07-07,"Seoul, South Korea",,,Park Shin-hye ​,2022-01-01,,1.0,0.0,1.0,0.0,1990-02-18,"Nam District, Gwangju, South Korea",,,1.0,0.0,1.0,1,M,32.0,31.0,,33.0,32.0,,1.0,1.0,2,"model, actor/actress",0,1,0,0,0,37.5518911,126.9917937,35.0940834,126.8567622,273.5632487401692
Han Sang-woo,1973-08-12,South Korea,,,Park Hye-jeong,2013-01-01,,1.0,0.0,2.0,0.0,1978-01-03,"Iksan, North Jeolla Province, South Korea",,,1.0,0.0,2.0,1,M,50.0,40.0,,45.0,35.0,,10.0,5.0,2,"model, actor/actress",1,1,0,0,0,35.907757,127.766922,36.0230799,126.9894962,71.13197422852052
Im Do-gyoo,1981-12-23,"Goyang, Ilsandong-gu, South Korea",,,Lee Eun-yul ​,2017-01-01,,2.0,2.0,,0.0,,,,,,,,0,M,42.0,36.0,,,,,6.0,,2,"model, actor/actress",0,1,1,0,0,37.6797757,126.7973282,,,
Kim Min-jun ,1976-08-24,South Korea,,,Kwon Da-mi ​,2019-01-01,,1.0,0.0,1.0,0.0,,,,,,,,0,M,47.0,43.0,,,,,4.0,,2,"model, actor/actress",0,1,0,0,0,35.907757,127.766922,,,
Kim Nam-hee,1986-05-25,South Korea,,,Unknown ​,2018-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,37.0,32.0,,,,,5.0,,2,"model, actor/actress",0,1,0,0,0,35.907757,127.766922,,,
Kwon Sang-woo,1976-08-05,"Daejeon, South Korea",,,Son Tae-young ​,2008-01-01,,1.0,0.0,2.0,0.0,1980-08-19,"Daegu, South Korea",,,1.0,0.0,2.0,1,M,47.0,32.0,,43.0,28.0,,15.0,4.0,2,"model, actor/actress",0,1,0,0,0,36.3398175,127.3940486,35.8294374,128.5655119,119.59179345586696
Lee Ki-woo,1981-10-23,"Seoul, South Korea",,,Unknown ​,2022-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,42.0,41.0,,,,,1.0,,2,"model, actor/actress",0,1,0,0,0,37.5518911,126.9917937,,,
Lee Sang-woo,1980-02-13,"Seoul, South Korea",,,Kim So-yeon ​,2017-01-01,,1.0,0.0,,0.0,1980-11-02,"Seoul, South Korea",,,1.0,0.0,,1,M,43.0,37.0,,43.0,37.0,,6.0,0.0,2,"model, actor/actress",0,1,0,0,0,37.5518911,126.9917937,37.5518911,126.9917937,0.0
Park Sung-Hyuk,1983-09-18,"Seoul, South Korea",,,Lee Se-mi,2012-01-01,,1.0,0.0,2.0,0.0,1984-02-24,"Seoul, South Korea",,,1.0,0.0,2.0,0,M,40.0,29.0,,39.0,28.0,,11.0,1.0,2,"model, actor/actress",1,1,0,0,0,37.5518911,126.9917937,37.5518911,126.9917937,0.0
Namkoong Min,1978-03-12,"Seoul, South Korea",,,Jin Ah-reum ​,2022-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,45.0,44.0,,,,,1.0,,2,"model, actor/actress",0,1,0,0,0,37.5518911,126.9917937,,,
Oh Ji-ho,1976-05-12,"Mokpo, South Jeolla Province, South Korea",,,Eun Bo-ah ​,2014-01-01,,1.0,0.0,2.0,0.0,,,,,,,,0,M,47.0,38.0,,,,,9.0,,2,"model, actor/actress",0,1,0,0,0,34.8118351,126.3921664,,,
Eo Nam-seon,1979-09-05,"Seoul, South Korea",,,Park Ha-sun ​,2017-01-01,,1.0,0.0,1.0,0.0,1987-10-22,"Seoul, South Korea",,,1.0,0.0,1.0,0,M,44.0,38.0,,36.0,30.0,,6.0,8.0,2,"model, actor/actress",0,1,0,0,0,37.5518911,126.9917937,37.5518911,126.9917937,0.0
Shin Hyun-joon ,1968-10-28,"Seoul, South Korea",,,Kim Kyung-mi ​,2013-01-01,,1.0,0.0,3.0,0.0,,,,,,,,0,M,55.0,45.0,,,,,10.0,,2,"model, actor/actress",0,1,0,0,0,37.5518911,126.9917937,,,
So Ji-sub,1977-11-04,"Seoul, South Korea",,,Cho Eun-jung ​,2020-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,46.0,43.0,,,,,3.0,,2,"model, actor/actress",0,1,0,0,0,37.5518911,126.9917937,,,
Kim Do-jin,1977-11-10,"Jeongseon County, Gangwon Province, South Korea",,,Lee Na-young ​,2015-01-01,,1.0,0.0,1.0,0.0,1979-02-22,"Hapjeong-dong, Mapo District, Seoul, South Korea",,,1.0,0.0,1.0,0,M,46.0,38.0,,44.0,36.0,,8.0,2.0,2,"model, actor/actress",0,1,0,0,0,37.3786668,128.7390494,37.5483014,126.9111751,162.42445120410432
Yoo Ji-tae,1976-04-13,South Korea,,,Kim Hyo-jin ​,2011-01-01,,1.0,0.0,2.0,0.0,1984-02-10,"Seoul, South Korea",,,1.0,0.0,2.0,1,M,47.0,35.0,,39.0,27.0,,12.0,8.0,3,"model, actor/actress, director",0,1,0,0,0,35.907757,127.766922,37.5518911,126.9917937,195.43249350555973
Marc Clotet Fresquet,1980-04-29,"Barcelona, Spain",,,Ana Celia de Armas Caso,2011-01-01,2013-01-01,1.0,1.0,2.0,0.0,1988-04-30,"Havana, Cuba",,,1.0,1.0,,1,M,43.0,31.0,33.0,35.0,23.0,25.0,2.0,8.0,1,model,1,1,1,0,0,41.3873974,2.168568,23.1135925,-82.3665956,7896.971146101315
Iván Sánchez,1974-11-19,"Madrid, Spain",,,Elia Galera ​,2014-01-01,,1.0,0.0,2.0,0.0,1973-03-19,"Madrid, Spain",,,,,,0,M,49.0,40.0,,50.0,41.0,,9.0,1.0,2,"model, actor/actress",0,1,0,0,0,40.4167754,-3.7037902,40.4167754,-3.7037902,0.0
John Rafael Edholm,1966-05-08,"Stockholm, Sweden",,,Görel Crona ​,1997-01-01,2006-01-01,3.0,2.0,1.0,0.0,,,,,,,,0,M,57.0,31.0,40.0,,,,9.0,,2,"model, director",0,1,1,0,0,59.32932349999999,18.0685808,,,
Andreas Axel Janota Wilson,1981-03-07,"Stockholm, Sweden",,,Nicole Janota ​,2010-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,42.0,29.0,,,,,13.0,,2,"model, actor/actress",0,1,0,0,0,59.32932349999999,18.0685808,,,
James Wen,1978-02-22,"Kaohsiung, Taiwan",,,Xiao Jun ​,2013-01-01,,1.0,0.0,1.0,0.0,,,,,,,,0,M,45.0,35.0,,,,,10.0,,1,model,0,1,0,0,0,22.6272784,120.3014353,,,
Ekkaphong Jongkesakorn,1983-01-30,"Uthai Thani Province, Thailand",,,Karnsinee Suksai ​,2018-01-01,,1.0,0.0,1.0,0.0,,,,,,,,0,M,40.0,35.0,,,,,5.0,,1,model,0,1,0,0,0,15.2998546,99.456155,,,
Jesdaporn Pholdee,1977-06-05,"Bangkok, Thailand",,,Sittamon Pholdee ​,2009-01-01,,1.0,0.0,2.0,0.0,,,,,,,,0,M,46.0,32.0,,,,,14.0,,2,"model, actor/actress",0,1,0,0,0,13.7563309,100.5017651,,,
Kan Kantathavorn,1985-12-06,"Bangkok, Thailand",,,Iyada Srimoontree  ​,2018-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,38.0,33.0,,,,,5.0,,2,"model, actor/actress",0,1,0,0,0,13.7563309,100.5017651,,,
Pakorn Lam,1979-09-12,"Bangkok, Thailand",,,Metal Sukkhao ​,2019-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,44.0,40.0,,,,,4.0,,1,model,0,1,0,0,0,13.7563309,100.5017651,,,
Puttichai Kasetsin,1986-07-03,"Damnoen Saduak, Ratchaburi, Thailand",,,Warattaya Nilkuha  ​,2018-01-01,,1.0,0.0,1.0,0.0,1983-06-11,"Ratchaburi, Thailand",,,1.0,0.0,,1,M,37.0,32.0,,40.0,35.0,,5.0,3.0,1,model,0,1,0,0,0,13.5167584,99.95412929999999,13.4509884,99.634135,35.365376195464414
Shahkrit Yamnam,1978-06-25,"Bangkok, Thailand",,,Virithipa Phakdeeprasong​ ​,2012-01-01,2016-01-01,2.0,1.0,1.0,0.0,,,,,,,,0,M,45.0,34.0,38.0,,,,4.0,,2,"model, actor/actress",0,1,1,0,0,13.7563309,100.5017651,,,
Theerachai Wimolchaireuk Thai: ธีรชัย วิมลชัยฤกษ์,1982-01-21,"Songkhla, Thailand",,,Jarinya Sirimongkolsakul​ ​,2020-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,41.0,38.0,,,,,3.0,,2,"model, actor/actress",0,1,0,0,0,7.189765899999998,100.5953813,,,
Ruengrit McIntosh ,1970-04-04,"Bangkok, Thailand",,,Geraldine Ricondel ​,2006-01-01,,1.0,0.0,1.0,0.0,,,,,,,,0,M,53.0,36.0,,,,,17.0,,2,"model, actor/actress",0,1,0,0,0,13.7563309,100.5017651,,,
Nihat Alptuğ Altınkaya,1979-09-28,"Karabük, Turkey",,,İmre Altınkaya ​,2010-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,44.0,31.0,,,,,13.0,,2,"model, actor/actress",0,1,0,0,0,41.19562,32.622654,,,
Cengiz Coşkun,1982-04-29,"Istanbul, Turkey",,,Beatrice Lorena ​,2022-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,41.0,40.0,,,,,1.0,,2,"model, actor/actress",0,1,0,0,0,41.0082376,28.9783589,,,
Alperen Duymaz,1992-11-03,"Ankara, Turkey",,,Kübra Kelkit ​,2020-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,31.0,28.0,,,,,3.0,,1,model,0,1,0,0,0,39.9333635,32.8597419,,,
Mehmet Günsür,1975-05-08,"Fatih, Istanbul, Turkey",,,Katerina Mongio ​,2006-01-01,,1.0,0.0,3.0,0.0,,,,,,,,0,M,48.0,31.0,,,,,17.0,,2,"model, actor/actress",0,1,0,0,0,41.0168639,28.9470422,,,
Kenan İmirzalıoğlu,1974-06-18,"Ankara, Turkey",,,Sinem Kobal ​,2016-01-01,,1.0,0.0,2.0,0.0,1987-08-14,"Istanbul, Turkey",,,1.0,0.0,2.0,1,M,49.0,42.0,,36.0,29.0,,7.0,13.0,2,"model, actor/actress",0,1,0,0,0,39.9333635,32.8597419,41.0082376,28.9783589,349.36514897683554
Kıvanç Kasabalı,1975-02-24,"Istanbul, Turkey",,,Sedef Avcı ​,2005-01-01,,1.0,0.0,1.0,0.0,,,,,,,,0,M,48.0,30.0,,,,,18.0,,1,model,0,1,0,0,0,41.0082376,28.9783589,,,
Mert Kılıç,1978-04-20,"Merzifon, Turkey",,,Aslıhan Güner ​,2013-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,45.0,35.0,,,,,10.0,,2,"model, actor/actress",0,1,0,0,0,40.8544243,35.4404557,,,
Alp Kırşan,1979-11-03,"Karşıyaka, İzmir, Turkey",,,Zeynep Dörtkardeşler​ ​,2014-01-01,,1.0,0.0,,0.0,,,,,,,,0,M,44.0,35.0,,,,,9.0,,2,"model, actor/actress",0,1,0,0,0,38.5183996,27.1382404,,,
Berk Oktay,1982-10-28,"Ankara, Turkey",,,Merve Şarapçıoğlu​ ​,2016-01-01,2020-01-01,2.0,1.0,,0.0,,,,,,,,0,M,41.0,34.0,38.0,,,,4.0,,1,model,0,1,1,0,0,39.9333635,32.8597419,,,
Burak Özçivit,1984-12-24,"Istanbul, Turkey",,,Fahriye Evcen ​,2017-01-01,,1.0,0.0,2.0,0.0,1986-06-04,"Solingen, North Rhine-Westphalia, West Germany",,,1.0,0.0,2.0,1,M,39.0,33.0,,37.0,31.0,,6.0,2.0,2,"model, actor/actress",0,1,0,0,0,41.0082376,28.9783589,51.1652199,7.0671161,2020.2038724799957
Turgut Tolgahan Sayışman,1981-12-17,"Istanbul, Turkey",,,Almeda Abazi ​,2017-01-01,,1.0,0.0,2.0,0.0,1992-02-13,"Tirana, Albania",,,1.0,0.0,2.0,1,M,42.0,36.0,,31.0,25.0,,6.0,11.0,2,"model, actor/actress",0,1,0,0,0,41.0082376,28.9783589,41.3275459,19.8186982,767.1808145760526
Kıvanç Tatlıtuğ,1983-10-27,"Adana, Turkey",,,Başak Dizer ​,2016-01-01,,1.0,0.0,1.0,0.0,,,,,,,,0,M,40.0,33.0,,,,,7.0,,2,"model, actor/actress",0,1,0,0,0,36.9914194,35.3308285,,,
Daniel Elbittar Villegas,1979-04-30,"Caracas, Venezuela",,,Sabrina Seara Parra,2014-01-01,,1.0,0.0,,0.0,1985-03-27,"Caracas, Venezuela",,,1.0,0.0,,1,M,44.0,35.0,,38.0,29.0,,9.0,6.0,4,"musician, model, writers, singer",0,1,0,0,0,10.4805937,-66.90360629999999,10.4805937,-66.90360629999999,0.0
Aaliyah Dana Haughton,1979-01-16,"New York City, US",2001-08-25,"Marsh Harbour, Abaco Islands, Bahamas",Robert Sylvester Kelly,1994-01-01,1995-01-01,1.0,1.0,,0.0,1967-01-08,"Chicago, Illinois, U.S.",,,2.0,2.0,3.0,0,F,22.0,15.0,16.0,56.0,27.0,28.0,1.0,12.0,2,"actor/actress, dancer",1,1,1,1,0,40.7127753,-74.0059728,41.8781136,-87.6297982,1144.293950028263
Paula Julie Abdul,1962-06-19,"San Fernando, California, U.S.",,,Emilio Estevez​ ​,1992-01-01,1994-01-01,2.0,2.0,,0.0,1962-05-12,"New York City, U.S.",,,1.0,1.0,2.0,1,F,61.0,30.0,32.0,61.0,30.0,32.0,2.0,0.0,3,"actor/actress, dancer, singer",0,1,1,0,0,34.2819461,-118.4389719,40.7127753,-74.0059728,3941.8013379351373
Iris Adrian Hostetter,1912-05-29,"Los Angeles, California, U.S.",1994-09-17,"Los Angeles, California, U.S.",Charles Over​ ​,1935-01-01,1936-01-01,4.0,3.0,,1.0,,,,,,,,0,F,82.0,23.0,24.0,,,,1.0,,2,"actor/actress, dancer",0,1,1,1,0,34.0549076,-118.242643,,,
Dianna Elise Agron,1986-04-30,"Savannah, Georgia, U.S.",,,Winston Aubrey Aladar deBalkan Marshall,2016-01-01,2020-01-01,1.0,1.0,,0.0,1987-12-20,"Wandsworth, London, England",,,1.0,1.0,,1,F,37.0,30.0,34.0,36.0,29.0,33.0,4.0,1.0,4,"director, actor/actress, dancer, singer",0,1,1,0,0,32.0808989,-81.091203,51.45837299999999,-0.1891356,6679.826833984663
Christina María Aguilera,1980-12-18,"New York City, New York, US",,,Jordan Bratman​ ​,2005-01-01,2011-01-01,1.0,1.0,2.0,0.0,,,,,,,,0,F,43.0,25.0,31.0,,,,6.0,,3,"actor/actress, dancer, singer",0,1,1,0,0,40.7127753,-74.0059728,,,
Olive Ann Alcorn,1900-03-10,"Stillwater, Minnesota, U.S.",1972-01-08,"Los Angeles, California, U.S.",Louis H. Scherer​ ​,1921-01-01,1925-01-01,2.0,1.0,,0.0,,,,,,,,0,F,72.0,21.0,25.0,,,,4.0,,1,dancer,0,1,1,1,0,45.056004,-92.80884429999999,,,
Dorothy Sydney Moses,1904-04-22,"Atlanta, Georgia",1986-11-17,"Atlanta, Georgia",Marion Alexander​ ​,1926-01-01,1927-01-01,1.0,1.0,,0.0,,,,,,,,0,F,82.0,22.0,23.0,,,,1.0,,1,dancer,0,1,1,1,0,33.748752,-84.38768449999999,,,
Deborah Kaye Allen,1950-01-16,"Houston, Texas, U.S.",,,Win Wilford ​,1975-01-01,1983-01-01,2.0,1.0,3.0,0.0,,,,,,,,0,F,73.0,25.0,33.0,,,,8.0,,2,"actor/actress, dancer",0,1,1,0,0,29.7604267,-95.3698028,,,
Grace Ethel Cecile Rosalie Allen,1895-07-26,"San Francisco, California, U.S.",1964-08-27,"Los Angeles, California, U.S.",Nathan Birnbaum,1926-01-01,,1.0,0.0,2.0,0.0,1896-01-20,"New York City, U.S.",1996-03-09,"Beverly Hills, California, U.S.",1.0,0.0,2.0,0,F,69.0,31.0,,100.0,30.0,,38.0,1.0,3,"actor/actress, dancer, comedians",1,1,0,1,1,37.7749295,-122.4194155,40.7127753,-74.0059728,4129.089118305205
Jonelle Allen,,"New York City, New York, U.S.",,,John Sharpe​ ​,1978-01-01,1992-01-01,3.0,2.0,,1.0,,,,,,,,0,F,,,,,,,14.0,,2,"actor/actress, dancer",0,1,1,0,0,40.7127753,-74.0059728,,,
Eleanor Geisman,1917-10-07,"The Bronx, New York, U.S.",2006-07-08,"Ojai, California, U.S.",Richard Ewing Powell,1945-01-01,,4.0,2.0,,1.0,1904-11-14,"Mountain View, Arkansas, U.S.",1963-01-02,"Los Angeles, California, U.S.",3.0,2.0,4.0,0,F,89.0,28.0,,59.0,41.0,,18.0,13.0,2,"actor/actress, dancer",1,1,1,1,1,40.8447819,-73.8648268,35.8685847,-92.1177613,1681.1801851025189
Christina Applegate,1971-11-25,"Los Angeles, California, U.S.",,,Johnathon Schaech​ ​,2001-01-01,2007-01-01,2.0,1.0,1.0,0.0,1969-09-10,"Edgewood, Maryland, U.S.",,,3.0,2.0,2.0,1,F,52.0,30.0,36.0,54.0,32.0,38.0,6.0,2.0,2,"actor/actress, dancer",0,1,1,0,0,34.0549076,-118.242643,39.4187194,-76.2944016,3751.211912500468
Lucie Désirée Arnaz,1951-07-17,"Los Angeles, California, U.S.",,,Philip Vandervort Menegaux​ ​,1971-01-01,1976-01-01,2.0,1.0,3.0,0.0,,,,,,,,0,F,72.0,20.0,25.0,,,,5.0,,3,"actor/actress, dancer, singer",0,1,1,0,0,34.0549076,-118.242643,,,
Lindsay Arnold,1994-01-11,"Provo, Utah, U.S.",,,Samuel Cusick ​,2015-01-01,,1.0,0.0,2.0,0.0,,,,,,,,0,F,29.0,21.0,,,,,8.0,,1,dancer,0,1,0,0,0,40.2338438,-111.6585337,,,
Adele Marie Austerlitz,1896-09-10,"Omaha, Nebraska, U.S.",1981-01-25,"Scottsdale, Arizona, U.S.",Lord Charles Cavendish​ ​,1932-01-01,,2.0,0.0,3.0,2.0,1905-08-05,,1944-03-23,"Lismore Castle, County Waterford, Ireland",1.0,0.0,,1,F,85.0,36.0,,39.0,27.0,,12.0,9.0,1,dancer,0,1,0,1,1,41.2565369,-95.9345034,,,
Debra Austin ,1955-07-25,United States,,,Marin Boieru ​,1992-01-01,,1.0,0.0,2.0,0.0,,,,,,,,0,F,68.0,37.0,,,,,31.0,,1,dancer,0,1,0,0,0,37.09024,-95.712891,,,
Marina Benedict,1960-08-12,,,,Martin Papazian ​,2018-01-01,,1.0,0.0,,0.0,1976-04-18,"Los Angeles, California, U.S.",,,1.0,0.0,,1,F,63.0,58.0,,47.0,42.0,,5.0,16.0,2,"actor/actress, dancer",0,1,0,0,0,,,34.0549076,-118.242643,
Barbara Jane Bennett,1906-08-13,"Palisades Park, New Jersey, U.S.",1958-08-08,"Montréal, Québec, Canada",Morton Downey​ ​,1929-01-01,1941-01-01,3.0,1.0,5.0,1.0,,,,,,,,0,F,52.0,23.0,35.0,,,,12.0,,2,"actor/actress, dancer",0,1,1,1,0,40.8481556,-73.99763899999999,,,
Elizabeth Berkley,1974-07-28,"Farmington Hills, Michigan, U.S.",,,Greg Lauren Dana Smith,2003-01-01,,1.0,0.0,1.0,0.0,1970-01-06,"New York City, U.S.",,,1.0,0.0,1.0,1,F,49.0,29.0,,53.0,33.0,,20.0,4.0,3,"model, actor/actress, dancer",1,1,0,0,0,42.4989936,-83.3677168,40.7127753,-74.0059728,802.8387851996007
Zina Bianca Bethune,1945-02-17,"Staten Island, New York City, U.S.",2012-02-12,"Los Angeles, California, U.S.",Sean Feeley ​,1970-01-01,,1.0,0.0,,0.0,,,,,,,,0,F,67.0,25.0,,,,,42.0,,2,"actor/actress, dancer",0,1,0,1,0,40.5795317,-74.1502007,,,
Carole Bishop,1944-02-28,"Colorado Springs, Colorado, U.S.",,,Maxwell Lefkowitz,1981-01-01,,1.0,0.0,,1.0,1929-04-03,"New York City, New York, U.S.",2018-12-16,"South Orange, New Jersey, U.S.",1.0,0.0,1.0,0,F,79.0,37.0,,89.0,52.0,,37.0,15.0,2,"actor/actress, dancer",0,1,0,0,1,38.8338816,-104.8213634,40.7127753,-74.0059728,2628.311316395218
Elizabeth Winifred Boger,1923-12-11,"Cliffside Park, New Jersey, U.S.",2009-03-13,"London, England",Eugene Curran Kelly,1941-01-01,1957-01-01,2.0,1.0,1.0,1.0,1912-08-23,"Pittsburgh, Pennsylvania, U.S.",1996-02-02,"Beverly Hills, California, U.S.",3.0,1.0,3.0,0,F,86.0,18.0,34.0,84.0,29.0,45.0,16.0,11.0,2,"actor/actress, dancer",1,1,1,1,1,40.8214894,-73.9876388,40.44062479999999,-79.9958864,508.68769485098244
Pamela Blair,1949-12-05,"Bennington, Vermont, U.S.",2023-07-23,"Phoenix, Arizona, U.S.",Donald Joseph Scardino,1984-01-01,1991-01-01,1.0,1.0,,0.0,1949-02-17,"New York City, U.S.",,,1.0,1.0,,1,F,74.0,35.0,42.0,74.0,35.0,42.0,7.0,0.0,2,"actor/actress, dancer",1,1,1,1,0,42.8781345,-73.1967741,40.7127753,-74.0059728,249.9433057866888
Rose Marie Bowe,1932-09-17,"Butte, Montana, U.S.",2019-01-20,"Cuernavaca, Morelos, Mexico",Charles Langford Modini Stack,1956-01-01,,1.0,0.0,2.0,1.0,1919-01-13,"Los Angeles, California, U.S.",2003-05-14,"Los Angeles, California, U.S.",1.0,0.0,2.0,0,F,87.0,24.0,,84.0,37.0,,47.0,13.0,2,"actor/actress, dancer",1,1,0,1,1,46.0038232,-112.5347776,34.0549076,-118.242643,1413.7760713821722
"Argentina Mercedes, Argentina Mercedes González Morel Valerio Urea",1920-12-20,"Santa Cruz de Mao, Dominican Republic",2013-10-02,"Las Vegas, Nevada, United States",Federico Horacio Henríquez Vásquez ​ ​,1942-01-01,,3.0,2.0,,1.0,,,,,,,,0,F,93.0,22.0,,,,,,,1,dancer,0,1,1,1,0,19.558252,-71.0803291,,,
Toni Michele Braxton,1967-10-07,"Severn, Maryland, U.S.",,,Keri Lewis​ ​,2001-01-01,2013-01-01,1.0,1.0,2.0,0.0,,,,,,,,0,F,56.0,34.0,46.0,,,,12.0,,2,"actor/actress, dancer",0,1,1,0,0,39.1370528,-76.6983022,,,
Lucille Bremer,1917-02-21,"Amsterdam, New York, U.S.",1996-04-16,"La Jolla, California, U.S.",Abelardo Louis Rodriguez​ ​,1948-01-01,1963-01-01,1.0,1.0,4.0,0.0,,,,,,,,0,F,79.0,31.0,46.0,,,,15.0,,2,"actor/actress, dancer",0,1,1,1,0,42.9377453,-74.190356,,,
Mary Ellen Tillotson,1928-03-13,"Fresno County, California, U.S.",,,Adolfo Martinez,1962-01-01,,1.0,0.0,,1.0,,,,,,,,0,F,95.0,34.0,,,,,,,1,dancer,0,1,0,0,0,36.9858984,-119.2320784,,,
Mary Louise Brooks,1906-11-14,"Cherryvale, Kansas, U.S.",1985-08-08,"Rochester, New York, U.S.",A. Edward Sutherland​ ​,1926-01-01,1928-01-01,2.0,2.0,,0.0,1895-01-05,"London, England",1973-12-31,"Palm Springs, California, United States",2.0,2.0,,0,F,79.0,20.0,22.0,78.0,31.0,33.0,2.0,11.0,2,"actor/actress, dancer",0,1,1,1,1,37.270344,-95.55247879999999,51.5072178,-0.1275862,7195.779407483084
Marie Bryant,1919-11-06,"Meridian, Mississippi, U.S.",1978-05-23,"Los Angeles, California, U.S.",John A. Rajakumar​ ​,1952-01-01,,1.0,0.0,,1.0,,,,,,,,0,F,59.0,33.0,,,,,,,1,dancer,0,1,0,1,0,32.3643098,-88.703656,,,
Cheryl Burke,1984-05-03,"California, U.S.",,,Matthew William Mignogna,2019-01-01,2022-01-01,1.0,1.0,,0.0,1980-02-11,"Abington Township, Pennsylvania, U.S.",,,1.0,1.0,,1,F,39.0,35.0,38.0,43.0,39.0,42.0,3.0,4.0,3,"musician, writers, dancer",1,1,1,0,0,36.778261,-119.4179324,40.1240795,-75.11951069999999,3835.594126165773
